"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names"
"#koin u,#koin uang","none","Setelah memutar koin, jatuh, dan…\n\n_yah kamu kalah sama bot_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : uang\n*➸ Jawaban BOT* : gambar<#>Setelah memutar koin, jatuh, dan…\n\n_yah jawabanmu sama bot persis, kamu menang_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : uang\n*➸ Jawaban BOT* : uang","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#koin g,#koin gambar","none","Setelah memutar koin, jatuh, dan…\n\n_yah kamu kalah sama bot_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : gambar\n*➸ Jawaban BOT* : koin<#>Setelah memutar koin, jatuh, dan…\n\n_yah jawabanmu sama bot persis, kamu menang_\n\n```Hasil Jawaban:```\n\n*➸ Jawabanmu* : gambar\n*➸ Jawaban BOT* : gambar","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#koin*","normal","No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text pilihan!\nContoh: #koin uang\n\nIngat kasih spasi setelah *""#koin!""*<#>No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text pilihan!\nContoh: #koin gambar\n\nIngat kasih spasi setelah *""#koin!""*","all","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#spin","none","*[  🎰 | SLOTS ]*\n*🍏 : 🍎 : 🍐*\n*🍊 : 🍋 : 🍌<=====*\n*🍉 : 🍇 : 🍓*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍎 : 🍐 : 🍊*\n*🍋 : 🍌 : 🍉<=====*\n*🍇 : 🍓 : 🫐*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍐 : 🍊 : 🍋*\n*🍌 : 🍉 : 🍇<=====*\n*🍓 : 🫐 : 🍈*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍊 : 🍋 : 🍌*\n*🍉 : 🍇 : 🍓<=====*\n*🫐 : 🍈 : 🍒*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍋 : 🍌 : 🍉*\n*🍇 : 🍓 : 🫐<=====*\n*🍈 : 🍒 : 🍑*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍌 : 🍉 : 🍇*\n*🍓 : 🫐 : 🍈<=====*\n*🍒 : 🍑 : 🥭*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍉 : 🍇 : 🍓*\n*🫐 : 🍈 : 🍒<=====*\n*🍑 : 🥭 : 🍍*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍇 : 🍓 : 🫐*\n*🍈 : 🍒 : 🍑<=====*\n*🥭 : 🍍 : 🥥*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍓 : 🫐 : 🍈*\n*🍒 : 🍑 : 🥭<=====*\n*🍍 : 🥥 : 🥝*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍓 : 🫐 : 🍈*\n*🍋 : 🍋 : 🍋<=====*\n*🍍 : 🥥 : 🥝*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*YOU WIN*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍇 : 🍓 : 🫐*\n*🍌 : 🍌 : 🍌<=====*\n*🥭 : 🍍 : 🥥*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*YOU WIN*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍌 : 🍉 : 🍇*\n*🍍 : 🍍 : 🍍<=====*\n*🍒 : 🍑 : 🥭*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*YOU WIN*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍏 : 🍎 : 🍐*\n*🍉 : 🍉 : 🍉<=====*\n*🍉 : 🍇 : 🍓*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*YOU WIN*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍋 : 🍌 : 🍉*\n*🍐 : 🍐 : 🍐<=====*\n*🍈 : 🍒 : 🍑*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*YOU WIN*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍊 : 🍋 : 🍌*\n*🍊 : 🍊 : 🍊<=====*\n*🫐 : 🍈 : 🍒*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*YOU WIN*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍊 : 🍋 : 🍌*\n*🥝 : 🥝 : 🥝<=====*\n*🫐 : 🍈 : 🍒*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*YOU WIN*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍊 : 🍋 : 🍌*\n*🔔 : 🔔 : 🔔<=====*\n*🫐 : 🍈 : 🍒*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*BIG WIN*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍊 : 🍋 : 🍌*\n*🪙 : 🪙 : 🪙<=====*\n*🫐 : 🍈 : 🍒*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*MEGA WIN*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_<#>*[  🎰 | SLOTS ]*\n*🍌 : 🍉 : 🍇*\n*💣 : 💣 : 💣<=====*\n*🍒 : 🍑 : 🥭*\n*[  🎰 | SLOTS ]*\n\n```Limit: Unlimited```\n```Bet: 90.000,00```\n\n*YOU LOSE*\n\n*Keterangan : Jika anda Mendapatkan 3Buah anda Menang*\n\n_Contoh : 🥝 : 🥝 : 🥝<=====_","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#slep *","normal","Slepeeet... Ada njir! Nemu di dompetnya\nSelamat anda mendapatkan uang 10 Rupiah!<#>Slepeeet... Ada njir! Nemu dibawah kasurnya\nSelamat anda mendapatkan uang 9 Rupiah!<#>Slepeeet... Ada njir! Nemu di lemarinya\nSelamat anda mendapatkan uang 8 Rupiah!<#>Slepeeet... Ada njir! Nemu di saku celananya\nSelamat anda mendapatkan uang 7 Rupiah!<#>Slepeeet... Ada njir! Nemu di saku bajunya\nSelamat anda mendapatkan uang 6 Rupiah!<#>Slepeeet... Ada njir! Nemu di jemurannya\nSelamat anda mendapatkan uang 5 Rupiah!<#>Slepeeet... Ada njir! Nemu di sepatunya\nSelamat anda mendapatkan uang 4 Rupiah!<#>Slepeeet... Ada njir! Nemu di topinya\nSelamat anda mendapatkan uang 3 Rupiah!<#>Slepeeet... Ada njir! Dikasih orang :v\nSelamat anda mendapatkan uang 2 Rupiah!<#>Slepeeet... Ada njir! Nemu di masjid :v\nSelamat anda mendapatkan uang 1 Rupiah!<#>Slepeeet... Ada njir! Nemu di jalan raya :v\nSelamat anda mendapatkan uang 0 Rupiah!<#>Slepeeet... Ada njir!\nKamu menemukan berlian 💎 ditempat tidur sultan!<#>Slepeeet... Ada njir!\nKamu menemukan sekarung uang 💰 di rumahnya!<#>Slepeeet... Ada njir!\nKamu menemukan kartu ATM 💳 di dompetnya!<#>Slepeeet... Yaaah...\nKamu tidak menemukan apa² 💸 disekitar rumahnya! :)","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#slep*","normal","No detected user, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih user/tag pengguna bot!\nContoh: #slep @Si inc.bot\n\nIngat kasih spasi setelah *""#slep!""*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bal *","normal","*Kamu meng%message%!*\nDan mendapatkan uang 10 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 9 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 8 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 7 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 6 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 5 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 4 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 3 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 2 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 1 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan uang 0 Rupiah!<#>*Kamu meng%message%!*\nDan mendapatkan berlian 💎!<#>*Kamu meng%message%!*\nDan mendapatkan sekarung uang 💰!<#>*Kamu meng%message%!*\nDan mendapatkan kartu ATM 💳!<#>*Kamu meng%message%!*\nDan tidak mendapatkan apa² 💸!","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bal*","normal","No detected user, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih user/tag pengguna bot!\nContoh: #bal @TamaGans\n\nIngat kasih spasi setelah *""#bal!""*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bet","none","_Uang kamu sekarang 10 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 9 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 8 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 7 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 6 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 5 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 4 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 3 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 2 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 1 Rupiah!_\n\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 0 Rupiah!_\n```masih lumayan!```\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 💎!_\n```njir sultan```\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 💰!_\n```wah kaya```\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 💳!_\n```wah pebisnis```\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.<#>_Uang kamu sekarang 💸 hangus!_\n```awokawok kena slepet```\n\nNB: uang min0 Rupiah dan max10 Rupiah.\n\nPenjelasan:\nJika uang anda berkurang, maka ada yang *""slepet""* uang anda! Jika uang anda bertambah, maka ada yang gagal *""fitnah""* anda! Sehingga uang anda bertambah.","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#apakah *","normal","➸ *Perintah* : <%message%>\n➸ *Jawaban* : <iya><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <tidak><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <tentu>","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bisakah *","normal","➸ *Perintah* : <%message%>\n➸ *Jawaban* : <bisa><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <tidak>","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#kapankah *","normal","➸ *Perintah* : <%message%>\n➸ *Jawaban* : <baru saja><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <nanti><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <besok><#>➸ *Perintah* : <%message%>\n➸ *Jawaban* : <mungkin lusa>","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#apakah*","normal","No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text pertanyaan!\nContoh: #apakah inc.bot baik?\n\nIngat kasih spasi setelah *""#apakah!""*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bisakah*","normal","No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text pertanyaan!\nContoh: #bisakah saya makan piza?\n\nIngat kasih spasi setelah *""#bisakah!""*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#kapankah*","normal","No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text pertanyaan!\nContoh: #kapankah inc.bot online?\n\nIngat kasih spasi setelah *""#kapankah!""*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka","none","Pilihannya cuma 1/2/3/4/5/6/7/8/9/10","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka 1","none","Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 1<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 2<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 3<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 4<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 5<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 6<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 7<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 8<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 9<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 1\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka 2","none","Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 1<#>Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 2<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 3<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 4<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 5<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 6<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 7<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 8<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 9<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 2\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
